keys;nl_NL;nl;en;en_BW
LanguageDescription;Viking;Dutch;English;Viking with english text
ChooseLanguageAndClub;Kies taal en roeivereniging / Choose language ;Kies taal en roeivereniging;Choose language and rowing club;Choose language and rowing club
VastroeienBeideBoorden;Vastroeien beide boorden;Houden beide boorden;Hold;Vastroeien beide boorden
HalenBeideBoorden;Halen beide boorden;Halen beide boorden;Stroke both sides;Halen beide boorden
Bedankt;Bedankt;Bedankt;Easy off (drop);Bedankt
HalenSB;Halen SB;Halen SB;Stroke bow side;Halen SB
StrijkenSB;Strijken SB;Strijken SB;Back down bow side;Strijken SB
VastroeienSB;Vastroeien SB;Houden SB;Hold bow side;Vastroeien SB
StrijkenBeidenBoorden;Strijken beide boorden;Strijken beide boorden;Back down;Strijken beide boorden
HalenBB;Halen BB;Halen BB;Stroke stroke side;Halen BB
StrijkenBB;Strijken BB;Strijken BB;Back down stroke side;Strijken BB
VastroeienBB;Vastroeien BB;Houden BB;Hold stroke side;Vastroeien BB
Boem;Boem;Boem;Bang;Bang
LegBootStil;Leg eerst de boot stil;Leg eerst de boot stil;First stop the boat;First stop the boat
EerstLatenLopen;Eerst laten lopen;Eerst laten lopen;First let it run;First let it run
Slippen;Slippen beide boorden;Slippen beide boorden;Blades along side;Slippen beide boorden
SlippenSB;Slippen SB;Slippen SB;Blades along bow side;Slippen SB
UitbrengenSB;Uitbrengen SB;Uitbrengen SB;Out oars bow side;Uitbrengen SB
PeddelendStrijkenSB;Peddelend strijken SB;Slippend strijken SB;Along side Back down bow side;Peddelend strijken SB
RondmakenSB;Rondmaken over SB;Rondmaken over SB;Spin turn bow side;Rondmaken over SB
Uitbrengen;Uitbrengen beide boorden;Uitbrengen beide boorden;Along side off;Uitbrengen beide boorden
SlippenBB;Slippen BB;Slippen BB;Blades along stroke side;Slippen BB
UitbrengenBB;Uitbrengen BB;Uitbrengen BB;Out oars stroke side;Uitbrengen BB
PeddelendStrijkenBB;Peddelend strijken BB;Slippend strijken BB;Along side back down stroke side;Peddelend strijken BB
RondmakenBB;Rondmaken over BB;Rondmaken over BB;Spin turn stroke side;Rondmaken over BB
